repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
huanghongxun/HMCL,https://github.com/huanghongxun/HMCL,7,188,4987,56713,4.0,13.0,1.0,True
spring-attic/spring-mvc-showcase,https://github.com/spring-attic/spring-mvc-showcase,11,0,4987,1281,5.0,3.0,0.0,True
orhanobut/dialogplus,https://github.com/orhanobut/dialogplus,8,9,4986,1047,3.0,2.0,0.0,True
google/google-authenticator,https://github.com/google/google-authenticator,8,0,4978,3935,2.0,9.0,1.0,True
ElderDrivers/EdXposed,https://github.com/ElderDrivers/EdXposed,4,27,4976,71794,4.0,13.0,1.0,True
amitshekhariitbhu/RxJava2-Android-Samples,https://github.com/amitshekhariitbhu/RxJava2-Android-Samples,6,0,4968,3992,2.0,3.0,0.0,True
yipianfengye/android-zxingLibrary,https://github.com/yipianfengye/android-zxingLibrary,6,0,4957,2018,3.0,3.0,0.0,True
rubensousa/GravitySnapHelper,https://github.com/rubensousa/GravitySnapHelper,6,14,4952,610,4.5,3.0,1.0,True
Genymobile/gnirehtet,https://github.com/Genymobile/gnirehtet,6,11,4949,4330,2.0,3.0,1.0,True
traex/RippleEffect,https://github.com/traex/RippleEffect,8,0,4948,504,2.0,2.0,0.0,True
Devlight/NavigationTabBar,https://github.com/Devlight/NavigationTabBar,6,13,4931,2538,2.0,4.0,0.5,True
huangyanbin/smartTable,https://github.com/huangyanbin/smartTable,5,44,4929,14165,2.0,4.0,0.0,True
lettuce-io/lettuce-core,https://github.com/lettuce-io/lettuce-core,8,105,4924,79798,4.0,20.0,0.0,True
hustcc/JS-Sorting-Algorithm,https://github.com/hustcc/JS-Sorting-Algorithm,6,0,4914,389,3.0,1.0,0.5,True
DingMouRen/LayoutManagerGroup,https://github.com/DingMouRen/LayoutManagerGroup,4,0,4910,2285,3.0,3.0,0.0,True
jeremylong/DependencyCheck,https://github.com/jeremylong/DependencyCheck,10,49,4899,39438,5.0,8.0,3.0,True
razerdp/BasePopup,https://github.com/razerdp/BasePopup,7,15,4897,28287,3.0,10.0,1.0,True
Ramotion/folding-cell-android,https://github.com/Ramotion/folding-cell-android,6,0,4888,812,2.0,2.0,0.0,True
google/google-java-format,https://github.com/google/google-java-format,7,18,4883,12431,3.5,6.0,1.0,True
Jasonchenlijian/FastBle,https://github.com/Jasonchenlijian/FastBle,6,9,4878,4713,2.0,4.0,0.0,True
JodaOrg/joda-time,https://github.com/JodaOrg/joda-time,11,42,4874,91497,6.0,17.0,10.0,True
andkulikov/Transitions-Everywhere,https://github.com/andkulikov/Transitions-Everywhere,8,23,4858,9485,5.0,11.0,0.0,True
lingochamp/okdownload,https://github.com/lingochamp/okdownload,5,8,4839,18986,4.0,6.0,0.0,True
mcxiaoke/packer-ng-plugin,https://github.com/mcxiaoke/packer-ng-plugin,7,1,4822,1776,2.0,4.0,1.0,True
claritylab/lucida,https://github.com/claritylab/lucida,8,0,4819,23221,5.0,5.0,1.0,True
OpenTSDB/opentsdb,https://github.com/OpenTSDB/opentsdb,12,26,4800,103458,4.0,16.0,0.0,True
apache/groovy,https://github.com/apache/groovy,7,0,4796,0,0.0,0.0,0.0,False
dromara/lamp-cloud,https://github.com/dromara/lamp-cloud,5,0,4796,9651,7.0,3.0,0.0,True
LandGrey/SpringBootVulExploit,https://github.com/LandGrey/SpringBootVulExploit,2,0,4794,258,3.0,1.0,0.0,True
apache/hbase,https://github.com/apache/hbase,8,31,4792,906442,5.0,106.0,1.0,True
youtube/api-samples,https://github.com/youtube/api-samples,9,0,4784,2541,7.0,1.0,0.0,True
apache/incubator-seatunnel,https://github.com/apache/incubator-seatunnel,5,40,4781,84500,4.0,7.0,0.0,True
etsy/AndroidStaggeredGrid,https://github.com/etsy/AndroidStaggeredGrid,9,7,4776,4010,3.0,7.0,0.5,True
JanusGraph/janusgraph,https://github.com/JanusGraph/janusgraph,6,24,4762,92760,4.0,11.0,1.0,True
apache/camel,https://github.com/apache/camel,13,0,4760,1573601,3.0,444.0,0.0,True
youlookwhat/CloudReader,https://github.com/youlookwhat/CloudReader,6,25,4759,19378,3.0,10.0,0.0,True
saiwu-bigkoo/Android-ConvenientBanner,https://github.com/saiwu-bigkoo/Android-ConvenientBanner,8,0,4750,848,3.0,3.0,1.0,True
google/cameraview,https://github.com/google/cameraview,6,0,4741,2983,3.0,3.0,0.0,True
AntennaPod/AntennaPod,https://github.com/AntennaPod/AntennaPod,10,48,4739,47998,5.0,8.0,1.0,True
spring-projects/spring-data-examples,https://github.com/spring-projects/spring-data-examples,9,0,4730,50093,2.0,4.0,0.0,True
CodingDocs/springboot-guide,https://github.com/CodingDocs/springboot-guide,4,0,4720,1519,3.0,5.0,0.0,True
pardom-zz/ActiveAndroid,https://github.com/pardom-zz/ActiveAndroid,10,0,4708,3158,3.0,6.0,3.0,True
spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,8,3,4699,7430,6.0,5.0,0.0,True
apache/hive,https://github.com/apache/hive,13,0,4698,1994463,4.0,47.0,1.0,True
hongyangAndroid/baseAdapter,https://github.com/hongyangAndroid/baseAdapter,7,0,4696,1563,3.0,3.0,0.0,True
gabrielemariotti/cardslib,https://github.com/gabrielemariotti/cardslib,9,27,4695,32257,4.0,20.0,0.0,True
deathmarine/Luyten,https://github.com/deathmarine/Luyten,9,17,4676,6750,1.0,11.0,0.0,True
sofastack/sofa-boot,https://github.com/sofastack/sofa-boot,4,62,4672,25586,4.0,5.0,0.0,True
jankotek/mapdb,https://github.com/jankotek/mapdb,10,0,4662,20198,2.0,54.0,0.0,True
wdullaer/MaterialDateTimePicker,https://github.com/wdullaer/MaterialDateTimePicker,8,54,4661,7536,5.0,3.0,1.0,True
nisrulz/android-tips-tricks,https://github.com/nisrulz/android-tips-tricks,6,0,4655,22,1.0,1.0,0.0,True
jgilfelt/chuck,https://github.com/jgilfelt/chuck,6,5,4636,1698,4.0,4.0,0.5,True
spring-attic/spring-security-oauth,https://github.com/spring-attic/spring-security-oauth,11,0,4631,35322,4.0,24.0,0.0,True
android/views-widgets-samples,https://github.com/android/views-widgets-samples,3,0,4631,7344,2.0,9.0,0.0,True
Col-E/Recaf,https://github.com/Col-E/Recaf,5,168,4625,28119,5.0,10.0,1.0,True
