repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
libgdx/libgdx,https://github.com/libgdx/libgdx,10,9,21210,275682,3.0,48.0,0.0,True
apache/flink,https://github.com/apache/flink,8,0,20818,1092838,4.0,61.0,0.0,True
redisson/redisson,https://github.com/redisson/redisson,9,120,20746,131186,3.0,7.0,0.0,True
alibaba/Sentinel,https://github.com/alibaba/Sentinel,4,23,20643,54678,3.0,18.0,0.0,True
google/ExoPlayer,https://github.com/google/ExoPlayer,8,23,20487,240901,5.0,31.0,0.0,True
bazelbuild/bazel,https://github.com/bazelbuild/bazel,8,194,20409,595212,5.0,42.0,1.0,True
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,12,245,20396,174258,4.0,60.0,0.0,True
termux/termux-app,https://github.com/termux/termux-app,7,89,19920,24226,4.0,6.0,0.0,True
ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,8,20,19767,1452,1.0,3.0,0.0,True
elunez/eladmin,https://github.com/elunez/eladmin,4,0,19405,7785,4.0,4.0,0.0,True
didi/DoKit,https://github.com/didi/DoKit,4,10,19345,80579,2.0,18.0,0.0,True
apache/rocketmq,https://github.com/apache/rocketmq,6,9,18864,174430,3.0,11.0,1.0,True
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,10,0,18713,894,2.0,1.0,0.0,True
Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,10,5,18452,1792,3.0,3.0,0.0,True
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,6,40,18324,29252,2.0,10.0,0.0,True
oracle/graal,https://github.com/oracle/graal,7,32,18303,1479016,4.0,325.0,1.0,True
mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,10,40,18253,54183,2.0,7.0,0.0,True
apache/shardingsphere,https://github.com/apache/shardingsphere,7,52,18064,173350,4.0,7.0,0.0,True
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,9,0,17933,10640,3.0,5.0,0.0,True
linlinjava/litemall,https://github.com/linlinjava/litemall,4,8,17785,90876,3.0,2.0,1.0,True
dianping/cat,https://github.com/dianping/cat,10,3,17585,98745,4.0,10.0,1.0,True
Anuken/Mindustry,https://github.com/Anuken/Mindustry,5,151,17314,0,0.0,0.0,0.0,False
forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,5,0,17166,1087,4.0,2.0,0.0,True
facebook/fresco,https://github.com/facebook/fresco,8,45,16920,68263,5.0,14.0,0.0,True
