repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
firebase/quickstart-android,https://github.com/firebase/quickstart-android,6,0,8386,6647,3.0,3.0,0.0,True
ybq/Android-SpinKit,https://github.com/ybq/Android-SpinKit,6,0,8374,1812,5.0,9.0,1.0,True
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,12,137,8362,41279,4.0,13.0,0.0,True
languagetool-org/languagetool,https://github.com/languagetool-org/languagetool,9,0,8324,194938,3.0,28.0,1.0,True
debezium/debezium,https://github.com/debezium/debezium,7,0,8213,140120,4.0,25.0,1.0,True
supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,3,21,8204,43508,7.0,6.0,3.0,True
shwenzhang/AndResGuard,https://github.com/shwenzhang/AndResGuard,7,4,8201,6506,2.0,4.0,1.5,True
KunMinX/Jetpack-MVVM-Best-Practice,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice,3,0,8191,3608,3.0,6.0,0.0,True
florent37/MaterialViewPager,https://github.com/florent37/MaterialViewPager,7,11,8189,1616,3.0,3.0,0.0,True
Netflix/conductor,https://github.com/Netflix/conductor,6,313,8177,46255,5.0,4.0,0.0,True
airbnb/epoxy,https://github.com/airbnb/epoxy,6,73,8159,38092,4.0,18.0,1.0,True
amitshekhariitbhu/Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database,6,12,8146,2393,4.0,3.0,0.0,True
signalapp/Signal-Server,https://github.com/signalapp/Signal-Server,9,0,8115,36772,4.0,4.0,0.0,True
alibaba/atlas,https://github.com/alibaba/atlas,6,7,8096,157496,4.0,13.0,1.0,True
kekingcn/kkFileView,https://github.com/kekingcn/kkFileView,5,11,8031,8700,5.0,2.0,1.0,True
hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework,7,26,8006,18591,4.0,8.0,0.0,True
zhoutaoo/SpringCloud,https://github.com/zhoutaoo/SpringCloud,5,0,7998,3083,5.0,5.0,0.0,True
YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,3,1,7959,27230,5.0,4.0,0.0,True
react-native-image-picker/react-native-image-picker,https://github.com/react-native-image-picker/react-native-image-picker,7,115,7937,835,4.0,2.0,0.0,True
guolindev/LitePal,https://github.com/guolindev/LitePal,10,0,7934,11830,3.0,6.0,0.0,True
Netflix/SimianArmy,https://github.com/Netflix/SimianArmy,10,4,7927,16056,4.0,5.0,3.0,True
HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror,7,0,7889,1719,2.0,2.0,0.0,True
ChrisRM/material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains,7,17,7886,14517,2.0,10.0,1.0,True
JakeWharton/hugo,https://github.com/JakeWharton/hugo,9,0,7878,384,7.0,2.0,6.0,True
apache/cassandra,https://github.com/apache/cassandra,13,0,7855,492638,4.0,63.0,1.0,True
apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,7,28,7825,22289,4.0,4.0,0.0,True
google/tsunami-security-scanner,https://github.com/google/tsunami-security-scanner,2,14,7793,7647,5.0,5.0,0.0,True
ssssssss-team/spider-flow,https://github.com/ssssssss-team/spider-flow,2,2,7753,8748,4.0,43.0,1.0,True
json-path/JsonPath,https://github.com/json-path/JsonPath,12,8,7724,16721,3.0,13.0,0.0,True
trello/RxLifecycle,https://github.com/trello/RxLifecycle,7,22,7713,2368,6.0,7.0,0.0,True
dropwizard/metrics,https://github.com/dropwizard/metrics,13,104,7699,26525,4.0,11.0,0.0,True
java-native-access/jna,https://github.com/java-native-access/jna,11,0,7689,105956,3.0,123.0,0.0,True
apache/shenyu,https://github.com/apache/shenyu,4,8,7677,102308,4.0,6.0,1.0,True
seven332/EhViewer,https://github.com/seven332/EhViewer,8,97,7673,44372,4.0,15.0,1.0,True
plantuml/plantuml,https://github.com/plantuml/plantuml,12,26,7665,184004,5.0,19.0,1.0,True
aritraroy/UltimateAndroidReference,https://github.com/aritraroy/UltimateAndroidReference,5,0,7656,22,1.0,1.0,0.0,True
checkstyle/checkstyle,https://github.com/checkstyle/checkstyle,9,126,7584,0,0.0,0.0,0.0,False
SonarSource/sonarqube,https://github.com/SonarSource/sonarqube,12,36,7576,360583,4.0,10.0,0.0,True
alibaba/otter,https://github.com/alibaba/otter,9,10,7566,68151,2.0,7.0,1.0,True
kaushikgopal/RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,8,0,7548,2633,3.0,4.0,3.0,True
barteksc/AndroidPdfViewer,https://github.com/barteksc/AndroidPdfViewer,6,0,7524,3328,1.0,4.0,0.0,True
spring-projects/spring-security,https://github.com/spring-projects/spring-security,11,132,7512,192695,5.0,18.0,0.0,True
davemorrissey/subsampling-scale-image-view,https://github.com/davemorrissey/subsampling-scale-image-view,9,21,7502,4262,3.5,5.0,0.0,True
facebook/litho,https://github.com/facebook/litho,6,52,7501,124733,4.0,10.0,0.0,True
sohutv/cachecloud,https://github.com/sohutv/cachecloud,7,9,7456,48349,2.0,3.0,0.0,True
apache/doris,https://github.com/apache/doris,5,19,7448,357642,4.0,12.0,0.0,True
vipshop/vjtools,https://github.com/vipshop/vjtools,4,9,7435,18382,2.0,6.0,1.0,True
trinodb/trino,https://github.com/trinodb/trino,4,0,7397,0,0.0,0.0,0.0,False
gedoor/MyBookshelf,https://github.com/gedoor/MyBookshelf,4,165,7370,48375,3.0,4.0,1.0,True
lecho/hellocharts-android,https://github.com/lecho/hellocharts-android,8,14,7370,10995,4.0,5.0,1.0,True
datahub-project/datahub,https://github.com/datahub-project/datahub,7,72,7363,74074,8.0,4.0,1.0,True
koush/AndroidAsync,https://github.com/koush/AndroidAsync,10,0,7350,18086,2.0,29.0,0.0,True
square/dagger,https://github.com/square/dagger,10,0,7292,8043,3.0,8.0,0.0,True
itwanger/toBeBetterJavaer,https://github.com/itwanger/toBeBetterJavaer,4,0,7290,0,,,,True
google/android-classyshark,https://github.com/google/android-classyshark,7,17,7270,8714,2.0,7.0,1.0,True
Bearded-Hen/Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap,9,5,7269,10389,3.0,4.0,2.0,True
pedant/sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog,8,2,7266,943,1.5,2.0,0.0,True
leolin310148/ShortcutBadger,https://github.com/leolin310148/ShortcutBadger,9,0,7256,885,5.0,3.0,1.0,True
google/agera,https://github.com/google/agera,7,16,7244,10897,4.0,5.0,0.0,True
goldze/MVVMHabit,https://github.com/goldze/MVVMHabit,5,3,7243,9110,2.0,4.0,0.0,True
cymcsg/UltimateRecyclerView,https://github.com/cymcsg/UltimateRecyclerView,8,9,7229,16083,2.0,5.0,0.0,True
crazycodeboy/TakePhoto,https://github.com/crazycodeboy/TakePhoto,7,15,7214,2403,2.0,3.0,1.0,True
PaperMC/Paper,https://github.com/PaperMC/Paper,7,1,7211,163,5.0,2.0,3.0,True
kevin-wayne/algs4,https://github.com/kevin-wayne/algs4,7,0,7206,21724,3.0,2.0,0.0,True
awsdocs/aws-doc-sdk-examples,https://github.com/awsdocs/aws-doc-sdk-examples,6,0,7201,55692,5.0,5.0,1.0,True
geeeeeeeeek/WeChatLuckyMoney,https://github.com/geeeeeeeeek/WeChatLuckyMoney,7,20,7165,931,3.0,2.0,1.0,True
swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,11,85,7143,34864,3.0,9.0,0.0,True
JakeWharton/ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,12,32,7137,26463,4.0,6.0,0.0,True
dyc87112/SpringCloud-Learning,https://github.com/dyc87112/SpringCloud-Learning,6,0,7110,7147,4.0,4.0,0.0,True
Qihoo360/RePlugin,https://github.com/Qihoo360/RePlugin,5,18,7108,28239,3.0,4.0,0.0,True
zfile-dev/zfile,https://github.com/zfile-dev/zfile,3,60,7071,6522,4.0,6.0,0.0,True
abel533/Mapper,https://github.com/abel533/Mapper,8,4,7051,18026,4.0,4.0,0.0,True
flyway/flyway,https://github.com/flyway/flyway,10,176,7047,22020,4.0,5.0,1.0,True
yuanguangxin/LeetCode,https://github.com/yuanguangxin/LeetCode,3,0,7041,3238,1.0,1.0,0.0,True
wildfirechat/im-server,https://github.com/wildfirechat/im-server,4,81,7032,151436,3.0,77.0,1.0,True
ogaclejapan/SmartTabLayout,https://github.com/ogaclejapan/SmartTabLayout,8,0,6997,1912,4.0,5.0,1.0,True
li-xiaojun/XPopup,https://github.com/li-xiaojun/XPopup,4,220,6918,12353,3.0,9.0,0.0,True
LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair,6,25,6908,117886,4.0,13.0,1.0,True
testcontainers/testcontainers-java,https://github.com/testcontainers/testcontainers-java,7,61,6884,24166,4.0,13.0,0.0,True
karatelabs/karate,https://github.com/karatelabs/karate,6,48,6876,41657,4.0,8.0,0.0,True
hongyangAndroid/okhttputils,https://github.com/hongyangAndroid/okhttputils,7,0,6871,1961,2.5,4.0,0.0,True
Exrick/xmall,https://github.com/Exrick/xmall,5,0,6858,31129,3.0,4.0,13.0,True
Tencent/Shadow,https://github.com/Tencent/Shadow,3,5,6843,21141,3.0,8.0,0.0,True
TechEmpower/FrameworkBenchmarks,https://github.com/TechEmpower/FrameworkBenchmarks,9,15,6841,16090,4.0,4.0,0.0,True
lenve/VBlog,https://github.com/lenve/VBlog,5,0,6839,781,4.0,2.0,1.0,True
apache/jmeter,https://github.com/apache/jmeter,12,0,6830,127367,4.0,11.0,3.0,True
NLPchina/elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql,8,196,6827,26907,5.0,5.0,6.0,True
naman14/Timber,https://github.com/naman14/Timber,7,5,6821,21859,3.0,8.0,0.0,True
DroidPluginTeam/DroidPlugin,https://github.com/DroidPluginTeam/DroidPlugin,7,2,6790,22301,2.0,129.0,0.0,True
google/closure-compiler,https://github.com/google/closure-compiler,8,0,6784,309138,4.0,38.0,1.0,True
gocd/gocd,https://github.com/gocd/gocd,9,74,6735,276648,4.0,19.0,0.0,True
hongyangAndroid/AndroidAutoLayout,https://github.com/hongyangAndroid/AndroidAutoLayout,7,0,6688,2370,5.0,4.0,8.0,True
Angel-ML/angel,https://github.com/Angel-ML/angel,5,19,6649,204252,4.0,10.0,0.0,True
software-mansion/react-native-svg,https://github.com/software-mansion/react-native-svg,7,92,6627,13484,4.0,80.0,1.0,True
yanzhenjie/AndPermission,https://github.com/yanzhenjie/AndPermission,6,0,6594,4486,3.0,2.0,0.0,True
apache/beam,https://github.com/apache/beam,7,28,6573,630030,5.0,38.0,0.0,True
zo0r/react-native-push-notification,https://github.com/zo0r/react-native-push-notification,7,35,6570,1884,4.0,2.0,0.0,True
Meituan-Dianping/walle,https://github.com/Meituan-Dianping/walle,6,1,6562,4633,2.0,6.0,0.5,True
opensearch-project/OpenSearch,https://github.com/opensearch-project/OpenSearch,2,29,6556,1009976,5.0,141.0,1.0,True
apache/tomcat,https://github.com/apache/tomcat,11,0,6551,351284,3.0,45.0,1.0,True
NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd,10,3,6542,7106,3.0,16.0,1.0,True
