repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
codeestX/GeekNews,https://github.com/codeestX/GeekNews,6,0,3490,11939,2.0,5.0,0.0,True
nayuki/QR-Code-generator,https://github.com/nayuki/QR-Code-generator,6,3,3488,1825,3.0,5.0,1.0,True
lisawray/groupie,https://github.com/lisawray/groupie,6,28,3480,3898,3.0,5.0,0.0,True
MovingBlocks/Terasology,https://github.com/MovingBlocks/Terasology,12,69,3477,114299,4.0,14.0,0.0,True
WVector/AppUpdate,https://github.com/WVector/AppUpdate,5,3,3476,2925,3.0,3.0,1.0,True
linkedin/databus,https://github.com/linkedin/databus,10,0,3474,124341,3.0,15.0,0.0,True
code4craft/netty-learning,https://github.com/code4craft/netty-learning,9,0,3470,68759,4.0,14.0,1.0,True
networknt/light-4j,https://github.com/networknt/light-4j,6,159,3470,59833,3.0,7.0,0.0,True
gz-yami/mall4j,https://github.com/gz-yami/mall4j,3,1,3467,6845,4.0,4.0,0.0,True
xcc3641/SeeWeather,https://github.com/xcc3641/SeeWeather,7,2,3465,3101,3.0,10.0,1.0,True
openhab/openhab1-addons,https://github.com/openhab/openhab1-addons,9,14,3451,0,0.0,0.0,0.0,False
ikarus23/MifareClassicTool,https://github.com/ikarus23/MifareClassicTool,10,2,3449,6514,9.0,3.0,3.0,True
apache/kylin,https://github.com/apache/kylin,8,0,3439,128075,3.0,7.0,1.0,True
zq2599/blog_demos,https://github.com/zq2599/blog_demos,5,0,3435,51653,3.0,16.0,0.0,True
googlemaps/android-maps-utils,https://github.com/googlemaps/android-maps-utils,9,32,3432,12045,5.0,6.0,1.0,True
guolindev/giffun,https://github.com/guolindev/giffun,4,0,3428,22397,3.0,6.0,1.0,True
lilishop/lilishop,https://github.com/lilishop/lilishop,1,3,3423,40577,5.0,4.0,0.0,True
google/data-transfer-project,https://github.com/google/data-transfer-project,5,55,3422,25141,4.0,5.0,0.0,True
crossoverJie/SSM,https://github.com/crossoverJie/SSM,6,10,3421,12864,2.0,2.0,2.0,True
KunMinX/Linkage-RecyclerView,https://github.com/KunMinX/Linkage-RecyclerView,3,0,3419,2536,5.0,3.0,1.0,True
yigit/android-priority-jobqueue,https://github.com/yigit/android-priority-jobqueue,8,0,3410,14102,3.0,11.0,0.0,True
avast/android-butterknife-zelezny,https://github.com/avast/android-butterknife-zelezny,9,8,3407,1626,3.0,7.0,0.0,True
alamkanak/Android-Week-View,https://github.com/alamkanak/Android-Week-View,8,4,3388,2003,2.0,3.0,0.0,True
sherxon/AlgoDS,https://github.com/sherxon/AlgoDS,6,0,3388,21217,1.0,2.0,0.0,True
vert-x3/vertx-examples,https://github.com/vert-x3/vertx-examples,8,0,3384,10192,5.0,2.0,1.0,True
ZhongFuCheng3y/austin,https://github.com/ZhongFuCheng3y/austin,1,0,3379,5717,5.0,4.0,0.0,True
ittianyu/BottomNavigationViewEx,https://github.com/ittianyu/BottomNavigationViewEx,6,19,3369,1371,3.0,3.0,0.0,True
hmkcode/Android,https://github.com/hmkcode/Android,9,0,3357,1474,5.0,3.0,1.0,True
abel533/MyBatis-Spring-Boot,https://github.com/abel533/MyBatis-Spring-Boot,7,0,3357,396,4.5,2.0,0.0,True
vaticle/typedb,https://github.com/vaticle/typedb,6,94,3353,76411,6.0,32.0,1.0,True
KingJA/LoadSir,https://github.com/KingJA/LoadSir,5,6,3351,1481,3.0,3.0,0.0,True
rubensousa/PreviewSeekBar,https://github.com/rubensousa/PreviewSeekBar,6,8,3348,1171,2.0,2.0,1.0,True
awaitility/awaitility,https://github.com/awaitility/awaitility,13,0,3346,5233,1.0,4.0,0.0,True
ivacf/archi,https://github.com/ivacf/archi,7,0,3346,2029,3.5,2.0,0.0,True
VaughnVernon/IDDD_Samples,https://github.com/VaughnVernon/IDDD_Samples,9,0,3344,28475,3.0,12.0,5.0,True
jMonkeyEngine/jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine,8,54,3343,192998,3.0,10.0,0.0,True
GitLqr/LQRWeChat,https://github.com/GitLqr/LQRWeChat,6,0,3342,17612,2.0,4.0,1.0,True
RipMeApp/ripme,https://github.com/RipMeApp/ripme,6,126,3342,19824,4.0,6.0,3.0,True
spockframework/spock,https://github.com/spockframework/spock,12,21,3338,21142,3.0,18.0,1.0,True
CoderLeixiaoshuai/java-eight-part,https://github.com/CoderLeixiaoshuai/java-eight-part,2,0,3332,0,,,,True
diffplug/spotless,https://github.com/diffplug/spotless,7,0,3322,30313,5.0,18.0,1.0,True
iammert/ScalingLayout,https://github.com/iammert/ScalingLayout,5,4,3321,631,2.0,2.0,0.0,True
luojilab/DDComponentForAndroid,https://github.com/luojilab/DDComponentForAndroid,5,4,3320,1449,2.0,3.0,0.0,True
shekhargulati/99-problems,https://github.com/shekhargulati/99-problems,7,0,3316,2057,2.0,1.0,0.0,True
fyhertz/libstreaming,https://github.com/fyhertz/libstreaming,10,0,3312,6798,2.0,5.0,0.0,True
yanzhenjie/AndServer,https://github.com/yanzhenjie/AndServer,6,0,3310,12033,3.0,5.0,1.0,True
nextcloud/android,https://github.com/nextcloud/android,6,207,3310,57078,4.0,11.0,0.0,True
actorapp/actor-platform,https://github.com/actorapp/actor-platform,7,97,3309,135207,3.0,7.0,0.0,True
undertow-io/undertow,https://github.com/undertow-io/undertow,10,0,3308,155855,3.0,16.0,0.0,True
huburt-Hu/NewbieGuide,https://github.com/huburt-Hu/NewbieGuide,5,20,3306,1896,3.0,3.0,0.0,True
alibaba/Alink,https://github.com/alibaba/Alink,4,20,3302,425233,5.0,18.0,0.0,True
google/volley,https://github.com/google/volley,6,9,3300,9296,2.0,31.0,0.0,True
uber/NullAway,https://github.com/uber/NullAway,5,0,3299,17916,2.0,5.0,0.0,True
wix/react-native-notifications,https://github.com/wix/react-native-notifications,6,24,2957,1543,4.0,3.0,1.0,True
